*Компания*;*Телефон компаний*;*Сайт компаний*;*Данные из регистра*
*2netti Oy *;*0400733919*;*www.4netti.net*;*{Kaupparekisteri   Rekisterissä   06.02.2003  |Verohallinnon perustiedot   Rekisterissä   08.01.2003  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.11.2004  |}*
*3Step IT Group Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   18.01.2007  |Verohallinnon perustiedot   Rekisterissä   29.01.2007  |Ennakkoperintärekisteri   Rekisterissä   11.01.2007  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   11.01.2007  |Arvonlisäverovelvollisuus   Kiinteistön käyttöoikeuden luovuttamisesta   01.05.2009  |Työnantajarekisteri   Rekisterissä   11.01.2007  |}*
*3aWorld Suomi Oy *;*+358 40 5641865*;*-*;*{Kaupparekisteri   Rekisterissä   25.03.2009  |Verohallinnon perustiedot   Rekisterissä   11.03.2009  |}*
*62FINLAND OY AB *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   14.01.2013  |Verohallinnon perustiedot   Rekisterissä   09.01.2013  |Ennakkoperintärekisteri   Rekisterissä   12.12.2012  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   12.12.2012  |}*
*A&O Energy Oy *;*-*;*www.sahkokatko.fi*;*{Kaupparekisteri   Rekisterissä   25.04.2018  |Verohallinnon perustiedot   Rekisterissä   25.04.2018  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   05.04.2018  |Työnantajarekisteri   Rekisterissä   01.10.2018  |}*
*Led Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   12.03.1976  |Verohallinnon perustiedot   Rekisterissä   15.03.1978  |Ennakkoperintärekisteri   Rekisterissä   18.11.2010  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Työnantajarekisteri   Rekisterissä   01.11.2010  |}*
*Aamu Tech Investment Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   23.10.2017  |Verohallinnon perustiedot   Rekisterissä   23.10.2017  |Ennakkoperintärekisteri   Rekisterissä   13.10.2017  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   13.10.2017  |}*
*Ab Aktiv El Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   21.11.1990  |Verohallinnon perustiedot   Rekisterissä   12.10.1990  |Ennakkoperintärekisteri   Rekisterissä   27.04.2011  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*AB EMMAS AFFÄR OY *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   10.06.2015  |Verohallinnon perustiedot   Rekisterissä   15.06.2015  |Ennakkoperintärekisteri   Rekisterissä   26.05.2015  |}*
*Ab Torsvikens Travstall Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   26.11.1981  |Verohallinnon perustiedot   Rekisterissä   19.10.1982  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |}*
*ABA Company Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   19.02.1997  |Verohallinnon perustiedot   Rekisterissä   28.02.1997  |Ennakkoperintärekisteri   Rekisterissä   07.11.2000  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.01.1997  |}*
*Oy Abilita Marketing Ab *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   11.03.1987  |Verohallinnon perustiedot   Rekisterissä   05.06.1987  |}*
*ABS-Kissat Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   06.03.1991  |Verohallinnon perustiedot   Rekisterissä   29.07.1991  |}*
*AC-pikahuolto Oy *;*-*;*www.acpikahuolto.fi*;*{Kaupparekisteri   Rekisterissä   22.03.1974  |Verohallinnon perustiedot   Rekisterissä   15.03.1978  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*AC-Service Oy *;*045-8680858*;*-*;*{Kaupparekisteri   Rekisterissä   18.05.2016  |Verohallinnon perustiedot   Rekisterissä   09.06.2016  |Ennakkoperintärekisteri   Rekisterissä   15.05.2016  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   15.05.2016  |}*
*Acendi Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   10.02.2009  |Verohallinnon perustiedot   Rekisterissä   11.02.2009  |}*
*Acme Elektroniikka OY *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   07.11.1990  |Verohallinnon perustiedot   Rekisterissä   03.12.1990  |}*
